|Tags|GEN|SIM|DIGI|L1|DIGI2RAW|HLT|AOD|MINIAOD|NANOAOD|
|ESAngleCorrectionFactorsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESChannelStatusRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESEEIntercalibConstantsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESGainRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESIntercalibConstantsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESMIPToGeVConstantRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESMissingEnergyCalibrationRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESPedestalsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESRecHitRatioCutsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|ESThresholdsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|ESTimeSampleWeightsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalADCToGeVConstantRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalChannelStatusRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|EcalClusterCrackCorrParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalClusterEnergyCorrectionObjectSpecificParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalClusterEnergyCorrectionParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalClusterEnergyUncertaintyParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalClusterLocalContCorrParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalDAQTowerStatusRcd / |  |  |  |  |  |  |  |  |  | 
|EcalDCSTowerStatusRcd / |  |  |  |  |  |  |  |  |  | 
|EcalGainRatiosRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalIntercalibConstantsMCRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  | 
|EcalIntercalibConstantsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalIntercalibErrorsRcd / |  |  |  |  |  |  |  |  |  | 
|EcalLaserAPDPNRatiosRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalLaserAPDPNRatiosRefRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalLaserAlphasRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalLinearCorrectionsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalMappingElectronicsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalMustacheSCParametersRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalPFRecHitThresholdsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalPedestalsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalPulseCovariancesRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|EcalPulseShapesRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
