|Tags|GEN|SIM|DIGI|L1|DIGI2RAW|HLT|AOD|MINIAOD|NANOAOD|
|GBRDWrapperRcd / lowPtElectron_ee_ecalTrk_05To50_mean |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / lowPtElectron_ee_ecalTrk_05To50_sigma |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / pfscecal_EBCorrection_offline_v2 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / pfscecal_EBCorrection_online |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / pfscecal_EBUncertainty_offline_v2 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / pfscecal_EBUncertainty_online |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / pfscecal_EECorrection_offline_v2 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / pfscecal_EECorrection_online |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / pfscecal_EEUncertainty_offline_v2 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / pfscecal_EEUncertainty_online |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / photon_eb_ECALonly |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_eb_ECALonly_lowpt |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / photon_eb_ECALonly_lowpt_var |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / photon_eb_ECALonly_var |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_eb_ecalOnly_5To300_0p0002To0p5_sigma |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_eb_ecalOnly_5To300_0p2To2_mean |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_ee_ECALonly |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_ee_ECALonly_lowpt |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / photon_ee_ECALonly_lowpt_var |  |  |  |  |  |  |  |  |  | 
|GBRDWrapperRcd / photon_ee_ECALonly_var |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_ee_ecalOnly_5To300_0p0002To0p5_sigma |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRDWrapperRcd / photon_ee_ecalOnly_5To300_0p2To2_mean |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / MVADuplicate |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / PFEcalResolution |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFGCorrectionBar |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFGCorrectionEndHighR9 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFGCorrectionEndLowR9 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFGlobalCorrection |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFLCCorrection |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFLCorrectionBar |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFLCorrectionEnd |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / PFResolution |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_NoEleMatch_wGwoGSF_BL |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_NoEleMatch_wGwoGSF_EC |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_BL |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedelectron_EBCorrection_offline_v1 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / gedelectron_EBUncertainty_offline_v1 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / gedelectron_EECorrection_offline_v1 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / gedelectron_EEUncertainty_offline_v1 |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / gedelectron_p4combination_25ns |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedelectron_p4combination_50ns |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedelectron_p4combination_offline |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / gedphoton_EBCorrection_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedphoton_EBUncertainty_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedphoton_EECorrection_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / gedphoton_EEUncertainty_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / pfscecal_EBCorrection_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / pfscecal_EECorrection_offline_v1 |  |  |  |  |  |  |  |  |  | 
|GBRWrapperRcd / wgbrph_EBCorrection |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / wgbrph_EBUncertainty |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / wgbrph_EECorrection |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GBRWrapperRcd / wgbrph_EEUncertainty |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GEMAlignmentErrorExtendedRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GEMAlignmentRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GEMChMapRcd / |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GEMRecoGeometryRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|GEMeMapRcd / |  |  |  |  |  |  |  |  |  | 
|GeometryFileRcd / Extended |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  |  |  | 
|GeometryFileRcd / FlatMinus05Percent |  |  |  |  |  |  |  |  |  | 
|GeometryFileRcd / FlatMinus10Percent |  |  |  |  |  |  |  |  |  | 
|GeometryFileRcd / FlatPlus05Percent |  |  |  |  |  |  |  |  |  | 
|GeometryFileRcd / FlatPlus10Percent |  |  |  |  |  |  |  |  |  | 
|GeometryFileRcd / ZeroMaterial |  |  |  |  |  |  |  |  |  | 
|GlobalPositionRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HBAlignmentRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HBHENegativeEFilterRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HEAlignmentRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HFAlignmentRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HFPhase1PMTParamsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HOAlignmentRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HcalChannelQualityRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalElectronicsMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalFlagHFDigiTimeParamsRcd / |  |  |  |  |  |  |  |  |  | 
|HcalFrontEndMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalGainsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalL1TriggerObjectsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalLUTCorrsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalLongRecoParamsRcd / |  |  |  |  |  |  |  |  |  | 
|HcalLutMetadataRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalMCParamsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalOOTPileupCompatibilityRcd / |  |  |  |  |  |  |  |  |  | 
|HcalOOTPileupCorrectionMapCollRcd / |  |  |  |  |  |  |  |  |  | 
|HcalPFCorrsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalPFCutsRcd / |  |  |  |  |  |  |  |  |  | 
|HcalParametersRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|HcalPedestalWidthsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalPedestalWidthsRcd / effective |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalPedestalsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalPedestalsRcd / effective |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalQIEDataRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalQIETypesRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalRecoParamsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalRespCorrsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalSiPMCharacteristicsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalSiPMParametersRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalTPChannelParametersRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalTPParametersRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalTimeCorrsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HcalZSThresholdsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|HeavyIonRcd / HFhitsAMPT_2760GeV |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / HFhitsHydjet_Bass |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / HFhitsHydjet_Drum |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / HFtowersHydjet_Bass |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / HFtowersHydjet_Drum |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / PixelHitsAMPT_2760GeV |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / PixelHitsHydjet_Bass |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / PixelHitsHydjet_Drum |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / PixelTracksHydjet_Bass |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / PixelTracksHydjet_Drum |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / TracksHydjet_Bass |  |  |  |  |  |  |  |  |  | 
|HeavyIonRcd / TracksHydjet_Drum |  |  |  |  |  |  |  |  |  | 
|IdealGeometryRecord / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|JetCorrectionsRecord / AK10PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK10PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK1PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK1PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK2PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK2PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK3PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK3PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4CaloHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4JPT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFClusterHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFPuppi |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFPuppiHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK4PFchsHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5CaloHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5JPT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5PFHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5PFchsHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK5TRK |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK6PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK6PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK7Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK7JPT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK7PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK7PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8CaloHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFClusterHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFPuppi |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFPuppiHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK8PFchsHLT |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK9PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / AK9PFchs |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / IC5Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / IC5PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / KT4Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / KT4PF |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / KT6Calo |  |  |  |  |  |  |  |  |  | 
|JetCorrectionsRecord / KT6PF |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFPuppi_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFPuppi_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFPuppi_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PF_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PF_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PF_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFchs_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFchs_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK4PFchs_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFPuppi_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFPuppi_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFPuppi_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PF_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PF_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PF_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFchs_eta |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFchs_phi |  |  |  |  |  |  |  |  |  | 
|JetResolutionRcd / AK8PFchs_pt |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK4PF |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK4PFPuppi |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK4PFchs |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK8PF |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK8PFPuppi |  |  |  |  |  |  |  |  |  | 
|JetResolutionScaleFactorRcd / AK8PFchs |  |  |  |  |  |  |  |  |  | 
|L1CaloEcalScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1CaloGeometryRecord / |  |  |  |  |  |  |  |  |  | 
|L1CaloHcalScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1EmEtScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1GctChannelMaskRcd / |  |  |  |  |  |  |  |  |  | 
|L1GctJetFinderParamsRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtBoardMapsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|L1GtParametersRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtPrescaleFactorsAlgoTrigRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtPrescaleFactorsTechTrigRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtPsbSetupRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtStableParametersRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtTriggerMaskAlgoTrigRcd / |  |  |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% | 
|L1GtTriggerMaskTechTrigRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtTriggerMaskVetoAlgoTrigRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtTriggerMaskVetoTechTrigRcd / |  |  |  |  |  |  |  |  |  | 
|L1GtTriggerMenuRcd / |  |  |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% | 
|L1HfRingEtScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1HtMissScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1JetEtScaleRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuCSCPtLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuCSCTFAlignmentRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuCSCTFConfigurationRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTEtaPatternLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTExtLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTPhiLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTPtaLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTQualPatternLutRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTTFMasksRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuDTTFParametersRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuGMTChannelMaskRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuGMTParametersRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuGMTScalesRcd / |  |  |  |  |  |  |  |  |  | 
|L1MuTriggerPtScaleRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|L1MuTriggerScalesRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|L1RCTChannelMaskRcd / |  |  |  |  |  |  |  |  |  | 
|L1RCTNoisyChannelMaskRcd / |  |  |  |  |  |  |  |  |  | 
|L1RCTParametersRcd / |  |  |  |  |  |  |  |  |  | 
|L1RPCBxOrConfigRcd / |  |  |  |  |  |  |  |  |  | 
|L1RPCConeDefinitionRcd / |  |  |  |  |  |  |  |  |  | 
|L1RPCConfigRcd / |  |  |  |  |  |  |  |  |  | 
|L1RPCHsbConfigRcd / |  |  |  |  |  |  |  |  |  | 
|L1RPCHwConfigRcd / |  |  |  |  |  |  |  |  |  | 
|L1TCaloParamsO2ORcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TCaloParamsRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TGlobalPrescalesVetosFractRcd / |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | 
|L1TGlobalPrescalesVetosRcd / |  |  |  |  |  |  |  |  |  | 
|L1TMuonBarrelParamsRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TMuonEndCapForestRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TMuonEndCapParamsRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TMuonGlobalParamsRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TMuonOverlapParamsRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|L1TUtmTriggerMenuRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|L1TriggerKeyListRcd / |  |  |  |  |  |  |  |  |  | 
|L1TriggerKeyRcd / |  |  |  |  |  |  |  |  |  | 
|LHCInfoPerFillRcd / |  |  |  |  |  |  |  |  |  | 
|LHCInfoPerLSRcd / |  |  |  |  |  |  |  |  |  | 
|LHCInfoRcd / | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|LumiSectionDataRcd / |  |  |  |  |  |  |  |  |  | 
|MFGeometryFileRcd / 160812 |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|MFGeometryFileRcd / 90322 |  |  |  |  |  |  |  |  |  | 
|MagFieldConfigRcd / 0T |  |  |  |  |  |  |  |  |  | 
|MagFieldConfigRcd / 2T |  |  |  |  |  |  |  |  |  | 
|MagFieldConfigRcd / 3.5T |  |  |  |  |  |  |  |  |  | 
|MagFieldConfigRcd / 3.8T |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|MagFieldConfigRcd / 3T |  |  |  |  |  |  |  |  |  | 
|MagFieldConfigRcd / 4T |  |  |  |  |  |  |  |  |  | 
|PCaloTowerRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
