|Tags|L1|HLT|AOD|MINIAOD|NANOAOD|
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_BL_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_BL_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_BL_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_NoEleMatch_woGwoGSF_EC_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_BL_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_wGwGSF_EC_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_BL_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_antiElectronMVA_woGwGSF_EC_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_VVLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBnewDMwLT_VVTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_Loose |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_Medium |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_Tight |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_VLoose |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_VTight |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_VVLoose |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMdR0p3wLT_VVTight |  |  |  |  |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_Loose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_Medium |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_Tight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_VLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_VTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_VVLoose |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|PhysicsTGraphPayloadRcd / RecoTauTag_tauIdMVAIsoDBoldDMwLT_VVTight |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|QGLikelihoodRcd / QGL_AK4PF |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|QGLikelihoodRcd / QGL_AK4PF_antib |  |  |  |  |  | 
|QGLikelihoodRcd / QGL_AK4PFchs |  |  |  | %GREEN% Yes %ENDCOLOR% |  | 
|QGLikelihoodRcd / QGL_AK4PFchs_antib |  |  |  |  |  | 
|RPCCPPFLinkMapRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|RPCDCCLinkMapRcd / |  |  |  |  |  | 
|RPCEMapRcd / | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|RPCLBLinkMapRcd / | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|RPCOMTFLinkMapRcd / | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|RPCRecoGeometryRcd / | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|RPCTwinMuxLinkMapRcd / | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|RPRealAlignmentRecord / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
|RunInfoRcd / | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|SiPixel2DTemplateDBObjectRcd / numerator |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelDetVOffRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelFedCablingMapRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelGainCalibrationForHLTRcd / |  | %GREEN% Yes %ENDCOLOR% |  |  |  | 
|SiPixelGainCalibrationOfflineRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelGenErrorDBObjectRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelLorentzAngleRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelLorentzAngleRcd / forWidth |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelLorentzAngleRcd / fromAlignment |  |  |  |  |  | 
|SiPixelQualityFromDbRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelQualityFromDbRcd / forRawToDigi |  |  |  |  |  | 
|SiPixelTemplateDBObjectRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiPixelTemplateDBObjectRcd / 0T |  |  |  |  |  | 
|SiStripApvGain2Rcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripApvGainRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripBackPlaneCorrectionRcd / deconvolution |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripBackPlaneCorrectionRcd / peak |  |  |  |  |  | 
|SiStripBadChannelRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripBadFiberRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripBadModuleRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripBadStripRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripClusterThresholdRcd / |  |  |  |  |  | 
|SiStripConfObjectRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripConfObjectRcd / apvphaseoffsets |  |  |  |  |  | 
|SiStripDeDxElectron_3D_Rcd / |  |  |  |  |  | 
|SiStripDeDxKaon_3D_Rcd / |  |  |  |  |  | 
|SiStripDeDxMip_3D_Rcd / |  |  |  |  |  | 
|SiStripDeDxPion_3D_Rcd / |  |  |  |  |  | 
|SiStripDeDxProton_3D_Rcd / |  |  |  |  |  | 
|SiStripDetVOffRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripFedCablingRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripLatencyRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripLorentzAngleRcd / deconvolution |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripLorentzAngleRcd / peak |  |  |  |  |  | 
|SiStripNoisesRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripPedestalsRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|SiStripThresholdRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|TauTagMVAComputerRcd / |  |  |  |  |  | 
|TauTagMVAComputerRcd / hpstanc |  |  |  |  |  | 
|TrackerAlignmentErrorExtendedRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|TrackerAlignmentRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|TrackerSurfaceDeformationRcd / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | 
|VeryForwardIdealGeometryRecord / |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  | 
